phi0,phi,<alpha>,zeta,lindemannParameter
0.0011,0.3779556755389883,7.003449583333333,0.3781606586685204,0.7537947154335946
0.0012,0.4122672305153029,7.003181631944442,0.4125389003656586,0.5723136775140689
0.0013,0.4465246063356206,7.002668993055552,0.4469171420627969,0.3495013315110609
0.0014,0.4808081719587532,7.002358437500002,0.4812953837599351,0.1837206563632478
0.0015,0.5152470913433063,7.0027877430555545,0.5156736254570734,0.1275311386997999
0.0016,0.5494113032159043,7.002006909722223,0.5500518671542116,0.1061749940467809
0.0017,0.583585877184161,7.00135440972222,0.5844301088513498,0.0823319304127665
0.0018,0.6176421426012407,7.000334722222222,0.618808350548488,0.0633369492799713
0.0019,0.6514373700450081,6.998482361111111,0.6531865922456264,0.0452778412265929
0.002,0.6847982623525396,6.995350937499998,0.6875648339427646,0.0297596352024607
0.0021,0.716114945046059,6.985910520833334,0.7219430756399027,0.0162866514382202
0.0022,0.739164156551375,6.951622013888892,0.7563213173370409,0.007621835847036
0.0023,0.7497303254549168,6.8823059375,0.790699559034179,0.0052085988275557
0.0024,0.7563613762600666,6.805980069444444,0.8250778007313172,0.0047562857414702
0.0025,0.7620841492121088,6.731772430555556,0.8594560424284553,0.0046556043406905
0.0026,0.7672985504369825,6.660502395833332,0.8938342841255935,0.0045856801584976
0.0027,0.7720955405049861,6.59207427083333,0.9282125258227316,0.0045554079988282
0.0028,0.7765677905856446,6.526447048611109,0.9625907675198698,0.0045476002290575
0.0029,0.7807442079369266,6.463405694444445,0.996969009217008,0.0044740237559518
0.003,0.7846280488727705,6.402702916666666,1.031347250914146,0.0044451103007389
0.0031,0.7882591580429277,6.344226840277778,1.0657254926112842,0.0044223165278395
0.0032,0.7917027464189232,6.287964374999999,1.1001037343084226,0.0043889777637234
0.0033,0.7948723099196334,6.233461041666661,1.1344819760055609,0.0043279938299005
0.0034,0.7978347260694664,6.180744270833332,1.1688602177026988,0.0043180983220924
0.0035,0.8006603629833248,6.129879930555555,1.2032384593998369,0.0042821629427643
0.0036,0.8033268562235614,6.080650486111107,1.2376167010969752,0.0042475156413657
0.0037,0.8057832885902396,6.032782395833335,1.2719949427941133,0.0042048685291001
0.0038,0.8081729160991861,5.986579270833335,1.3063731844912514,0.0041812123112322
0.0039,0.8104702144733438,5.941858611111111,1.3407514261883895,0.0041473184856019
0.004,0.8125246621123855,5.898077395833333,1.3751296678855278,0.0041293940657043
0.0041,0.8145552117048851,5.855788541666668,1.409507909582666,0.0040918802886464
0.0042,0.8164186271541457,5.814491145833333,1.4438861512798045,0.0040808186638212
0.0043,0.8182444215753195,5.774473576388889,1.4782643929769428,0.0040148728881629
0.0044,0.8199401952243334,5.735413854166669,1.512642634674081,0.0040253419200019
0.0045,0.8215949523752079,5.6974968750000015,1.5470208763712194,0.0039756294446936
0.0046,0.8231306753536092,5.660424027777778,1.5813991180683578,0.0039303560889998
0.0047,0.8245636074636047,5.624196493055555,1.615777359765496,0.0039264818155915
0.0048,0.8259841295165469,5.589017569444445,1.6501556014626344,0.0038856114344159
0.0049,0.8273305050409403,5.554662916666665,1.6845338431597727,0.0038554500004561
0.005,0.828594775166732,5.521065868055554,1.718912084856911,0.0038325798073756
0.0051,0.8298478381152427,5.488374965277777,1.7532903265540494,0.0038052965144988
0.0052,0.831007948571049,5.456322569444442,1.7876685682511877,0.0037845738349696
0.0053,0.8321401852245789,5.425049305555557,1.822046809948326,0.0037685449339407
0.0054,0.8332003272557434,5.394405590277777,1.856425051645464,0.0037578758668056
0.0055,0.8342338404479545,5.364475590277777,1.8908032933426024,0.0037383804477296
0.0056,0.8352035698102483,5.335119583333334,1.9251815350397408,0.003663226708256
0.0057,0.8361654193124259,5.306479201388886,1.959559776736879,0.0036528729136894
0.0058,0.8370801922707455,5.278407048611114,1.9939380184340172,0.0036285261037243
