#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 291.6666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 1.0E-4
#x-link fraction increment: 1.75E-6
#Reservoir swelling ratio: 5.515431666374207
#Mean swelling ratio: 5.5149648611111095
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.16777935664769653
#Actual volume fraction: 0.16778554565341058
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 1.3822379328016235E-4
#phi,       	kT/E
0.5311099732368839, 0.005399603546158454
0.5144368486878996, 0.005117600936600589
0.5302410039089925, 0.004863414894276775
0.5151444908674102, 0.004633241289859343
0.5011832933423828, 0.004424373797622662
0.5168629249347912, 0.00423291257798251
0.5319995555672731, 0.004057512727568003
0.5192863167183118, 0.0038961601872326457
0.5073647285639215, 0.0037471079692435547
0.5222778938501198, 0.0036090280722135978
0.5111091047179817, 0.003480803545353407
0.5006678225212974, 0.0033613592623670772
0.5151899617279985, 0.0032498377923721035
0.5052664025729069, 0.003145481012031692
0.5194341937047914, 0.003047619334618943
0.5100756232022717, 0.0029556724338315643
0.5238909553097414, 0.0028693436584541995
0.5149646112511935, 0.002787477556426404
0.5064513408645341, 0.00271033452288175
0.498261263359761,  0.0026373672912873122
0.5117906721457229, 0.002568301422477817
0.5039939917723983, 0.002502606898045647
0.49649687465794695, 0.002440264414857893
0.5096337197397665, 0.002381150056716685
