#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 297.50000000000017
#Flory interaction parameter (chi): 0.2
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 1.0E-4
#x-link fraction increment: 3.0E-6
#Reservoir swelling ratio: 4.969002604484558
#Mean swelling ratio: 4.968537743055555
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.12268957813078107
#Actual volume fraction: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.009390164742682906
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.0022, 0.5268839093502361, 6.209484131944443, 0.5274650885098193, 0.12155989669502501, 3.3E-5, 0.005194902281465547
0.0023, 0.5230523538162257, 6.103285520833332, 0.5236126667348983, 0.12764983098702812, 3.6E-5, 0.004761905300323999
0.0023, 0.49878070147496867, 6.007377743055552, 0.4992632489846545, 0.14496956688112647, 3.9E-5, 0.004395642616095333
0.0025, 0.5187128209835552, 5.919516319444447, 0.5192774017863401, 0.13310046834805667, 4.2E-5, 0.004082544916903413
0.0026, 0.517803222043699, 5.839211701388886, 0.5183437511726533, 0.13358077760071377, 4.4999999999999996E-5, 0.003809731272574925
0.0026, 0.4984106625271341, 5.765384930555559, 0.49883623272326083, 0.14857323779376655, 4.7999999999999994E-5, 0.0035715538071019993
0.0028, 0.5176838708920598, 5.696289548611115, 0.5182006553174379, 0.13744050824479254, 5.099999999999999E-5, 0.003361600380003694
0.0029, 0.5183680809185471, 5.6325269791666654, 0.5187889410788472, 0.13175684811972563, 5.399999999999999E-5, 0.0031746445275183666
0.0029, 0.5020272119001211, 5.57270072916667, 0.5023957173621256, 0.14747750210242014, 5.699999999999999E-5, 0.003007526285529065
0.003, 0.5037226649446452, 5.516272881944445, 0.5041294510965897, 0.14131516666642097, 5.999999999999999E-5, 0.0028571838493578723
0.0031, 0.5056905463660276, 5.463403784722222, 0.5060627271815833, 0.14506805177610074, 6.299999999999999E-5, 0.0027210898872322303
0.0032, 0.507759501544274, 5.413249305555557, 0.5081630162659673, 0.14059206562359633, 6.599999999999999E-5, 0.0025974076251867395
0.0033, 0.5100160091707819, 5.365929375000002, 0.5104021221384554, 0.1412526859295461, 6.9E-5, 0.0024845318542399534
0.0034, 0.5124168400410051, 5.321120208333331, 0.5127600795125468, 0.13638299590413236, 7.2E-5, 0.002380976563343449
0.0034, 0.5001920032085073, 5.278459826388885, 0.5004949476349068, 0.14370798387067124, 7.500000000000001E-5, 0.0022857211817146126
0.0035, 0.5030396922903001, 5.237599756944444, 0.5033732469076004, 0.14492898218357908, 7.800000000000001E-5, 0.0021978042778371056
0.0036, 0.5059988283724242, 5.1987989583333345, 0.5063004811204651, 0.1376973127305899, 8.100000000000002E-5, 0.0021164096707173
0.0037, 0.5089611357625006, 5.161569166666669, 0.5092689835561822, 0.13837401159636462, 8.400000000000002E-5, 0.0020409082874168166
0.0038, 0.5119383628482072, 5.125842743055554, 0.512270477480309, 0.1317247725926918, 8.700000000000003E-5, 0.0019704433497729763
0.0038, 0.5017822536881895, 5.091715520833334, 0.5020850787343163, 0.13797623461754405, 9.000000000000003E-5, 0.0019047629195609735
0.0039, 0.5050405444183838, 5.05871944444444, 0.5053868869330213, 0.14887806941155132, 9.300000000000004E-5, 0.001843359329562945
0.0039, 0.4956825808959323, 5.027277534722224, 0.49597388128601727, 0.14441616570605206, 9.600000000000004E-5, 0.001785725748700755
